epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,1477.44,0.381,0.52226,0.43132,0.81706,0,0.98798,0.97308,0.99214,0.94399,0.98798,0.97308,0.99214,0.90971,0.28256,0.37062,0.38463,0.76674,0,0.0005075,0.0005075,0.0005075
62,1503.43,0.36605,0.50259,0.43184,0.83149,0,0.97924,0.70463,0.72794,0.68697,0.96605,0.69571,0.71852,0.66021,0.27371,0.39249,0.41305,0.76467,0,0.000495125,0.000495125,0.000495125
63,1529.75,0.40711,0.61043,0.49094,0.8417,0,0.97347,0.92184,0.93268,0.89063,0.96345,0.91283,0.9263,0.8491,0.28019,0.39457,0.40607,0.76663,0,0.00048275,0.00048275,0.00048275
64,1556.58,0.36341,0.40733,0.47555,0.82775,0,0.97094,0.96851,0.9843,0.9414,0.96139,0.95952,0.9768,0.89486,0.27154,0.39009,0.39441,0.76705,0,0.000470375,0.000470375,0.000470375
65,1585.8,0.35421,0.46403,0.41683,0.81872,0,0.98795,0.79905,0.83154,0.79678,0.94012,0.82066,0.82874,0.7464,0.26806,0.40073,0.39688,0.76568,0,0.000458,0.000458,0.000458
66,1616.12,0.34223,0.45536,0.41973,0.82353,0,0.96283,0.9757,0.98523,0.94154,0.95398,0.97772,0.98115,0.89471,0.26697,0.39202,0.38145,0.76612,0,0.000445625,0.000445625,0.000445625
67,1644.11,0.34418,0.46807,0.39457,0.81795,0,0.99575,0.93752,0.96155,0.92209,0.98592,0.92861,0.95878,0.89132,0.27492,0.41214,0.37048,0.76792,0,0.00043325,0.00043325,0.00043325
68,1673.1,0.36383,0.48583,0.41332,0.81751,0,0.9927,0.97205,0.98676,0.94145,0.98348,0.9631,0.98369,0.90917,0.28419,0.3994,0.3535,0.77199,0,0.000420875,0.000420875,0.000420875
69,1702.53,0.3505,0.45629,0.42232,0.81791,0,0.98805,0.97345,0.98729,0.95001,0.97881,0.96444,0.98552,0.91441,0.26486,0.38012,0.34067,0.76739,0,0.0004085,0.0004085,0.0004085
70,1731.58,0.34836,0.44205,0.39004,0.81347,0,0.99262,0.98535,0.98838,0.94872,0.97878,0.98688,0.98716,0.92052,0.26226,0.38142,0.33197,0.76713,0,0.000396125,0.000396125,0.000396125
