epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
60,2824.39,0.3524,0.43712,0.38076,0.81846,0,0.9776,0.99343,0.99432,0.95736,0.97493,0.99072,0.99413,0.90244,0.25818,0.35863,0.33428,0.76828,0,0.000519875,0.000519875,0.000519875
61,2891.79,0.35095,0.4192,0.3797,0.8109,0,0.98162,0.99041,0.99411,0.95602,0.97892,0.9877,0.99379,0.90159,0.26298,0.34765,0.32761,0.76788,0,0.0005075,0.0005075,0.0005075
62,2948.38,0.36224,0.43652,0.38164,0.82548,0,0.98219,0.98826,0.99423,0.95759,0.9795,0.98555,0.99361,0.90667,0.25204,0.34389,0.3307,0.76765,0,0.000495125,0.000495125,0.000495125
63,3005.98,0.33219,0.43489,0.37356,0.81627,0,0.99519,0.97652,0.99435,0.95832,0.99245,0.97381,0.9924,0.89864,0.25196,0.33775,0.32329,0.76762,0,0.00048275,0.00048275,0.00048275
64,3055.8,0.34395,0.40391,0.37541,0.81737,0,0.98456,0.99011,0.99436,0.95288,0.97913,0.98462,0.98988,0.90108,0.25517,0.33027,0.31963,0.76949,0,0.000470375,0.000470375,0.000470375
65,3107.8,0.33072,0.4153,0.36745,0.81176,0,0.98734,0.98752,0.99456,0.95506,0.98187,0.98203,0.98914,0.89442,0.26111,0.32271,0.32686,0.76818,0,0.000458,0.000458,0.000458
66,3154.71,0.33622,0.4449,0.37078,0.80983,0,0.99086,0.98437,0.99451,0.9573,0.98812,0.98166,0.99183,0.91298,0.25173,0.31834,0.31289,0.76781,0,0.000445625,0.000445625,0.000445625
67,3207.69,0.34475,0.49113,0.37153,0.80445,0,0.98456,0.98873,0.99454,0.9568,0.97913,0.98324,0.99043,0.9061,0.25099,0.31076,0.31265,0.7686,0,0.00043325,0.00043325,0.00043325
68,3258.29,0.34376,0.41019,0.36722,0.81188,0,0.99509,0.98055,0.99451,0.95642,0.98519,0.97689,0.98996,0.90973,0.25416,0.32447,0.31319,0.76779,0,0.000420875,0.000420875,0.000420875
69,3305.88,0.33607,0.47419,0.36007,0.81584,0,0.99197,0.97769,0.99261,0.95482,0.98844,0.9722,0.99158,0.90042,0.26544,0.35367,0.31473,0.76942,0,0.0004085,0.0004085,0.0004085
70,3352.61,0.34002,0.44118,0.36024,0.81159,0,0.99102,0.97717,0.99327,0.95616,0.98745,0.97672,0.99154,0.90905,0.24642,0.33386,0.30495,0.76773,0,0.000396125,0.000396125,0.000396125
71,3401.41,0.32099,0.40967,0.34199,0.81185,0,0.9929,0.98251,0.99357,0.95747,0.98734,0.97702,0.98939,0.90694,0.24454,0.30575,0.30202,0.76852,0,0.00038375,0.00038375,0.00038375
72,3447.79,0.3294,0.39037,0.35462,0.80898,0,0.98724,0.98478,0.99007,0.95938,0.98727,0.98484,0.99045,0.90707,0.23423,0.31085,0.30326,0.76551,0,0.000371375,0.000371375,0.000371375
73,3500.5,0.31446,0.45436,0.34781,0.81405,0,0.97948,0.98245,0.98959,0.96121,0.97954,0.98251,0.99051,0.90392,0.23073,0.31256,0.2983,0.76547,0,0.000359,0.000359,0.000359
74,3553.4,0.30264,0.39722,0.33582,0.80602,0,0.993,0.96935,0.98951,0.96064,0.98607,0.97984,0.99428,0.91637,0.22899,0.30967,0.29349,0.76452,0,0.000346625,0.000346625,0.000346625
75,3609.47,0.31166,0.42167,0.34154,0.81573,0,0.98652,0.98735,0.99324,0.96246,0.98928,0.99011,0.99458,0.92227,0.22535,0.32873,0.28864,0.76442,0,0.00033425,0.00033425,0.00033425
76,3664.02,0.30593,0.37743,0.33061,0.81782,0,0.98754,0.98918,0.99367,0.96002,0.98754,0.98925,0.99455,0.92322,0.23088,0.32898,0.29138,0.76493,0,0.000321875,0.000321875,0.000321875
77,3714.37,0.31022,0.38087,0.33721,0.80859,0,0.98447,0.99044,0.994,0.96013,0.98446,0.99051,0.99453,0.92824,0.23227,0.33154,0.28466,0.76511,0,0.0003095,0.0003095,0.0003095
78,3780.14,0.31038,0.39703,0.33173,0.81292,0,0.99087,0.9865,0.99411,0.96278,0.99092,0.98656,0.99453,0.92461,0.22846,0.32491,0.27872,0.76562,0,0.000297125,0.000297125,0.000297125
79,3840.04,0.30587,0.40679,0.32269,0.81462,0,0.99369,0.98818,0.99417,0.96782,0.9896,0.98873,0.99464,0.92982,0.22882,0.3126,0.2755,0.76533,0,0.00028475,0.00028475,0.00028475
